Destination,SERIES,2018,2019,Average
Albania,VFN,61622.0,73513.0,67567.5
Algeria,VFN,221707.0,164907.0,193307.0
American Samoa,TFN,0.0,0.0,0.0
Andorra,TFR,485237.0,0.0,242618.5
Angola,TFR,10208.0,13928.0,12068.0
Anguilla,TFR,1293.0,2515.0,1904.0
Antigua and Barbuda,TFR,1677.0,0.0,838.5
Argentina,TFR,140824.0,0.0,70412.0
Armenia,TFR,27651.0,0.0,13825.5
Australia,VFR,142730.0,0.0,71365.0
Austria,TCER,550640.0,573992.0,562316.0
Azerbaijan,VFR,7898.0,9096.0,8497.0
Bahamas,TFR,17525.0,18909.0,18217.0
Bangladesh,TFN,0.0,0.0,0.0
Barbados,TFR,5164.0,0.0,2582.0
Belarus,VFN,19146.0,16462.0,17804.0
Belgium,TCER,1408958.0,0.0,704479.0
Belize,TFN,6721.0,0.0,3360.5
Benin,TFR,14645.0,0.0,7322.5
Bermuda,TFR,836.0,0.0,418.0
Bhutan,TFN,1773.0,1953.0,1863.0
"Bolivia, Plurinational State of",TFN,35582.0,0.0,17791.0
Bonaire,TFR,0.0,0.0,0.0
Bosnia and Herzegovina,TCER,20282.0,0.0,10141.0
Botswana,TFR,12699.0,0.0,6349.5
Brazil,TFR,238345.0,257504.0,247924.5
British Virgin Islands,TFR,0.0,0.0,0.0
Brunei Darussalam,TFN,1318.0,1381.0,1349.5
Bulgaria,TCER,124458.0,118268.0,121363.0
Burkina Faso,THSR,20062.0,0.0,10031.0
Cabo Verde,THSR,77127.0,85325.0,81226.0
Cambodia,TFR,170844.0,0.0,85422.0
Cameroon,THSN,53114.0,0.0,26557.0
Canada,TFR,604166.0,0.0,302083.0
Cayman Islands,TFR,820.0,0.0,410.0
Central African Republic,TFN,0.0,0.0,0.0
Chile,TFN,87197.0,87085.0,87141.0
China,VFN,499160.0,0.0,249580.0
Colombia,TFR,77245.0,0.0,38622.5
Comoros,TFN,22034.0,27185.0,24609.5
Congo,THSR,31271.0,0.0,15635.5
"Congo, Democratic Republic of the",TFR,0.0,0.0,0.0
Cook Islands,TFR,505.0,540.0,522.5
Costa Rica,TFN,74032.0,77013.0,75522.5
Croatia,TCER,583130.0,629231.0,606180.5
Cuba,VFR,177652.0,0.0,88826.0
Curaçao,TFR,2057.0,0.0,1028.5
Cyprus,TFR,36500.0,0.0,18250.0
Czech Republic,TCEN,286316.0,306875.0,296595.5
Denmark,TCER,359620.0,380177.0,369898.5
Dominica,TFR,3753.0,0.0,1876.5
Dominican Republic,TFR,221058.0,211188.0,216123.0
Ecuador,VFR,25414.0,0.0,12707.0
Egypt,VFN,217533.0,0.0,108766.5
El Salvador,TFN,5035.0,4631.0,4833.0
Eritrea,VFN,0.0,0.0,0.0
Estonia,TCER,36301.0,0.0,18150.5
Ethiopia,TFR,26804.0,0.0,13402.0
Fiji,TFR,6443.0,5644.0,6043.5
Finland,TCER,105691.0,119640.0,112665.5
French Guiana,TFR,0.0,0.0,0.0
French Polynesia,TFR,49272.0,60382.0,54827.0
Gambia,TFN,2440.0,0.0,1220.0
Georgia,THSR,24242.0,0.0,12121.0
Germany,TCER,1852786.0,1923420.0,1888103.0
Ghana,TFN,0.0,0.0,0.0
Greece,TFR,1524001.0,1541793.0,1532897.0
Grenada,TFN,1254.0,1216.0,1235.0
Guadeloupe,TFR,0.0,0.0,0.0
Guinea,TFR,0.0,0.0,0.0
Guinea-Bissau,TFN,0.0,0.0,0.0
Guyana,TFR,430.0,613.0,521.5
Haiti,TFR,23357.0,11547.0,17452.0
Honduras,TFN,0.0,0.0,0.0
"Hong Kong, China",TFR,150432.0,128874.0,139653.0
Hungary,TFN,344104.0,443505.0,393804.5
Iceland,TFN,97224.0,97506.0,97365.0
India,TFN,261653.0,0.0,130826.5
Indonesia,VFN,287917.0,283814.0,285865.5
"Iran, Islamic Republic of",VFN,28389.0,0.0,14194.5
Iraq,VFN,0.0,0.0,0.0
Ireland,TFR,525000.0,0.0,262500.0
Israel,TFR,345955.0,0.0,172977.5
Italy,TFN,7640667.0,7977514.0,7809090.5
Jamaica,TFR,9012.0,8274.0,8643.0
Japan,VFN,304896.0,336333.0,320614.5
Jordan,TFN,40001.0,0.0,20000.5
Kazakhstan,VFR,12620.0,13257.0,12938.5
Kenya,VFR,0.0,0.0,0.0
Kiribati,TFN,81.0,0.0,40.5
"Korea, Republic of",VFN,100096.0,110794.0,105445.0
Kuwait,VFN,21434.0,0.0,10717.0
Kyrgyzstan,VFR,8353.0,0.0,4176.5
Lao People's Democratic Republic,VFN,39315.0,44416.0,41865.5
Latvia,TCER,45989.0,46326.0,46157.5
Lebanon,TFN,181321.0,181127.0,181224.0
Lesotho,VFR,1888.0,1985.0,1936.5
Libya,VFN,0.0,0.0,0.0
Liechtenstein,TCER,2225.0,2324.0,2274.5
Lithuania,TFR,49300.0,0.0,24650.0
Luxembourg,TCER,136462.0,0.0,68231.0
"Macao, China",THSR,16979.0,15133.0,16056.0
Madagascar,TFN,70886.0,0.0,35443.0
Malaysia,TFN,139408.0,141661.0,140534.5
Maldives,TFN,50476.0,0.0,25238.0
Mali,TFR,59390.0,0.0,29695.0
Malta,TFR,213299.0,239140.0,226219.5
Martinique,TFR,372013.0,394793.0,383403.0
Mauritius,TFR,285371.0,302038.0,293704.5
Mexico,TFR,241435.0,0.0,120717.5
"Moldova, Republic of",TCEN,3025.0,3874.0,3449.5
Monaco,THSN,80899.0,83463.0,82181.0
Mongolia,TFN,9773.0,10572.0,10172.5
Montenegro,TCEN,77096.0,0.0,38548.0
Montserrat,TFR,0.0,0.0,0.0
Morocco,TFN,1844397.0,0.0,922198.5
Myanmar,TFN,43218.0,42608.0,42913.0
Namibia,TFN,30576.0,27976.0,29276.0
Nepal,TFN,31653.0,30646.0,31149.5
Netherlands,TCER,893000.0,0.0,446500.0
New Caledonia,TFR,37326.0,42207.0,39766.5
New Zealand,VFR,43606.0,40777.0,42191.5
Nicaragua,TFN,9417.0,6081.0,7749.0
Niger,TFN,29977.0,36670.0,33323.5
Nigeria,VFN,0.0,0.0,0.0
Niue,TFR,0.0,0.0,0.0
North Macedonia,TCEN,9030.0,9445.0,9237.5
Northern Mariana Islands,VFN,0.0,0.0,0.0
Norway,TCER,232479.0,248097.0,240288.0
Oman,VFR,81379.0,0.0,40689.5
Pakistan,TFN,0.0,0.0,0.0
Palau,TFN,375.0,0.0,187.5
Panama,VFR,36112.0,0.0,18056.0
Papua New Guinea,VFR,1075.0,888.0,981.5
Paraguay,TFN,4508.0,0.0,2254.0
Peru,TFR,100951.0,0.0,50475.5
Philippines,TFR,74400.0,88577.0,81488.5
Poland,TCER,233778.0,0.0,116889.0
Portugal,TCER,1850630.0,1803306.0,1826968.0
Qatar,VFN,40164.0,51007.0,45585.5
Reunion,TFR,424868.0,443589.0,434228.5
Romania,TCER,170635.0,154082.0,162358.5
Russian Federation,VFN,207306.0,0.0,103653.0
Rwanda,VFN,0.0,0.0,0.0
Saba,TFR,0.0,0.0,0.0
Saint Kitts and Nevis,TFR,0.0,0.0,0.0
Saint Lucia,TFR,8224.0,0.0,4112.0
Saint Vincent and the Grenadines,TFR,0.0,0.0,0.0
San Marino,VFN,35230.0,0.0,17615.0
Sao Tome and Principe,TFN,0.0,0.0,0.0
Saudi Arabia,TFN,77422.0,102571.0,89996.5
Senegal,THSN,0.0,0.0,0.0
Serbia,TCEN,34400.0,35520.0,34960.0
Seychelles,TFR,43549.0,43297.0,43423.0
Sierra Leone,TFR,1246.0,0.0,623.0
Singapore,VFR,204769.0,212808.0,208788.5
Sint Maarten (Dutch part),TFN,34365.0,0.0,17182.5
Slovakia,TCEN,41866.0,45979.0,43922.5
Slovenia,TCEN,148166.0,166860.0,157513.0
Solomon Islands,TFR,207.0,201.0,204.0
South Africa,TFR,186251.0,165038.0,175644.5
Spain,TFR,11293323.020259116,11147396.582234526,11220359.801246822
Sri Lanka,TFR,106449.0,87623.0,97036.0
Sudan,TFN,0.0,0.0,0.0
Suriname,TFR,0.0,0.0,0.0
Sweden,TCER,152653.0,0.0,76326.5
Switzerland,TCER,810993.0,816489.0,813741.0
Syrian Arab Republic,VFN,6127.0,7044.0,6585.5
Taiwan Province of China,TCER,46698.0,51373.0,49035.5
Tajikistan,VFR,1252.0,0.0,626.0
"Tanzania, United Republic of",VFR,41330.0,0.0,20665.0
Thailand,TFR,724350.0,0.0,362175.0
Togo,THSR,91582.0,132630.0,112106.0
Tonga,TFR,284.0,0.0,142.0
Trinidad and Tobago,TFN,3581.0,3455.0,3518.0
Tunisia,TFN,781709.0,890455.0,836082.0
Turkey,TFN,722830.0,0.0,361415.0
Turkmenistan,TFN,0.0,0.0,0.0
Turks and Caicos Islands,TFR,0.0,0.0,0.0
Tuvalu,TFN,0.0,0.0,0.0
Uganda,TFR,0.0,0.0,0.0
Ukraine,TFR,66581.0,0.0,33290.5
United Arab Emirates,THSN,447678.0,493680.0,470679.0
United Kingdom,VFR,3599256.0,3570369.0,3584812.5
United States of America,TFR,1767461.0,1843782.0,1805621.5
United States Virgin Islands,THSN,74.0,151.0,112.5
Uruguay,VFN,19741.0,0.0,9870.5
Uzbekistan,VFR,13579.0,0.0,6789.5
Vanuatu,TFR,0.0,0.0,0.0
"Venezuela, Bolivarian Republic of",TFN,0.0,0.0,0.0
Viet Nam,VFR,279659.0,287655.0,283657.0
Yemen,TFN,0.0,0.0,0.0
Zambia,TFR,6460.0,0.0,3230.0
Zimbabwe,VFR,26180.0,0.0,13090.0
